BSD,3
Embedded/bare metal,1
FreeBSD,18
Haiku,1
Illumos,1
Linux,1
Mobile,1
My students use others,1
OpenBSD,6
"OpenBSD, Solaris",1
Solaris,1
Some,1
nixos,1
